I,SoC,V
-12.5,40,544.7
-12.6,40,545.3
-12.6,40,544.7
-12.6,40,544.7
-12.5,40,544.7
-12.6,40,545.3
-12.6,40,544.9
-12.6,40,544.7
-12.7,40,544.7
-12.5,40,544.9
-12.4,40,545.1
-12.6,40,543.2
-12.6,40,543.4
-12.5,40,544.7
-12.7,40,543.2
-12.6,40,543.6
-12.6,40,544.5
-12.6,40,544.5
-12.6,40,545.1
-12.5,40,544.5
-11.7,40,543.6
-11.7,40,544.5
-11.8,40,544.7
-11.9,40,544.7
-11.8,40,544.7
-11.8,40,543.6
-11.8,40,544.7
-11.7,40,543.6
-11.8,40,544.7
-11.9,40,545.3
-11.7,40,543.6
-11.8,40,543.8
-11.9,40,545.1
-11.9,40,544.7
-11.9,40,544.7
-11.7,40,545.3
-11.9,40,543.6
-11.9,40,543.6
-11.9,40,544.7
-11.9,40,544.7
-11.9,40,545.1
-11.8,40,543.8
-11.7,40,543.6
-11.9,40,544.7
-11.9,40,543.8
-11.8,40,544.7
-11.8,40,544.7
-11.8,40,543.8
-12,40,544.5
-11.9,40,543.8
-11.8,40,543.2
-11.7,40,543.8
-11.8,40,544.7
-11.7,40,544.5
-11.9,40,544.9
-11.7,40,544.5
-11.8,40,544.5
-11.9,40,545.1
-11.9,40,545.1
-11.9,40,543.8
-11.9,40,543.8
-11.9,40,545.1
-11.7,40,543.4
-11.9,40,545.1
-11.9,40,543.2
-12,40,544.7
-11.9,40,543.2
-11.7,40,545.1
-11.8,40,545.1
-11.7,40,543.6
-11.8,40,543.2
-11.9,40,543.6
-11.9,40,544.7
-11.9,39,544.9
-11.9,39,543.6
-11.9,39,543.6
-11.9,39,544.5
-11.9,39,544.5
-11.7,39,543
-11.7,39,544.5
-11.7,39,544.5
-11.7,39,544.5
-11.7,39,543.6
-11.8,39,543.6
-11.8,39,544.7
-11.8,39,544.7
-11.8,39,544.3
-11.8,39,543.4
-11.8,39,543.4
-11.7,39,543.2
-11.9,39,544.5
-11.9,39,544.5
-11.7,39,544.5
-12,39,543
-11.9,39,543.6
-11.9,39,543.6
-11.8,39,543.2
-11.8,39,543.2
-11.9,39,545.1
-11.9,39,543.2
-11.9,39,543.2
-12,39,543.4
-11.8,39,545.1
-11.7,39,544.7
-11.9,39,543.2
-11.8,39,544.3
-11.8,39,544.3
-11.8,39,543.2
-11.7,39,543.6
-11.9,39,543.2
-11.3,39,543.4
-11.2,39,544.5
-11.3,39,543.2
-11.2,39,544.7
-11.3,39,544.9
-11.2,39,543.6
-11.2,39,543.6
-11.2,39,543.6
-11.3,39,544.7
-11.4,39,543
-11.3,39,544.7
-11.3,39,544.7
-11.3,39,544.7
-11.3,39,544.7
-11.3,39,543.6
-11.4,39,543.2
-11.3,39,543.4
-11.2,39,544.5
-11.4,39,543
-11.3,39,543.2
-11.4,39,544.7
-11.3,39,543.2
-11.4,39,543.6
-11.2,39,545.1
-11.2,39,544.5
-11.3,39,543.2
-11.4,39,544.5
-11.3,39,544.7
-11.3,39,544.7
-11.3,39,544.7
-11.2,39,545.1
-11.2,39,545.1
-11.1,39,543.6
-11.3,39,543.6
-11.2,39,543.6
-11.3,39,543.2
-11.2,39,543.2
-11.2,39,543.4
-11.2,39,543
-11.2,39,543.8
-11.3,39,544.7
-11.4,39,544.5
-11.1,39,543.2
-11.2,39,543.6
-11.3,39,544.5
-11.4,39,543.2
-11.4,39,544.7
-11.4,39,543.8
-11.3,39,543.6
-11.3,39,543.2
-11.4,39,543
-11.3,39,543.2
-11.3,39,543.2
-11.3,39,543.2
-11.3,39,544.5
-11.3,39,543
-11.3,39,544.7
-11.4,39,543.2
-11.2,39,544.7
-11.3,39,544.7
-11.4,39,543
-11.3,39,544.7
-11.4,39,543.8
-11.3,39,544.5
-11.4,39,543.6
-11.2,39,543
-11.2,39,544.7
-11.4,39,543.2
-11.4,39,543
-11.3,39,544.5
-11.4,39,543.2
-11.2,39,543.2
-11.1,39,543.2
-11.1,39,543.2
-11.2,39,543.2
-11.3,39,544.5
-11.3,39,544.5
-11.3,39,543
-11.2,39,543.2
-11.2,39,543.6
-11.2,39,543.4
-11.2,39,544.5
-11.3,39,543.6
-11.3,39,543.6
-11.2,39,543.8
-11.3,39,544.5
-11.3,39,544.5
-11.3,39,543.8
-11.3,39,543
-11.4,39,544.5
-12.7,39,544.5
-12.5,39,543.6
-12.5,39,543.6
-12.5,39,543.6
-12.5,39,543.2
-12.6,39,543.6
-12.6,39,543.6
-12.6,39,542.4
-12.5,39,543
-12.6,39,543.2
-12.6,39,543.2
-12.5,39,543
-12.5,39,543.2
-12.6,39,543.2
-12.6,39,542.4
-12.7,39,543.2
-12.7,39,543.2
-12.7,38,543
-12.7,38,543
-12.5,38,543.6
-12.7,38,543.2
-12.7,38,543
-12.8,38,544.5
-12.8,38,544.5
-12.5,38,542.8
-12.7,38,543.2
-12.5,38,542.4
-12.7,38,543
-12.7,38,543.4
-12.7,38,543
-12.7,38,543
-12.7,38,543.4
-12.7,38,543.6
-12.5,38,542.3
-12.5,38,543.6
-12.5,38,544.5
-12.6,38,543.6
-12.5,38,543
-12.7,38,542.4
-12.7,38,542.4
-12.7,38,543.2
-12.5,38,544.5
-12.5,38,544.5
-12.7,38,543
-12.5,38,542.4
-12.8,38,542.4
-12.7,38,542.4
-12.8,38,543.2
-12.7,38,543.2
-12.7,38,543.2
-12.7,38,542.4
-12.7,38,542.3
-12.7,38,542.8
-12.7,38,542.4
-12.7,38,542.3
-12.7,38,542.4
-12.5,38,542.4
-12.6,38,542.3
-12.5,38,542.4
-12.5,38,542.4
-12.6,38,542.3
-12.6,38,542.3
-12.5,38,542.3
-12.7,38,543
-12.7,38,542.1
-12.7,38,543.6
-12.7,38,543
-12.6,38,543
-12.6,38,542.4
-12.7,38,543.2
-12.7,38,543
-12.7,38,543.4
-12.8,38,543
-12.7,38,543
-12.7,38,543
-12.7,38,543.2
-12.6,38,542.8
-12.5,38,543.2
-12.7,38,543
-12.5,38,543
-12.7,38,543
-12.7,38,542.3
-12.7,38,542.3
-12.7,38,542.3
-12.7,38,542.8
-12.8,38,542.4
-12.8,38,542.4
-12.5,38,542.8
-12.6,38,542.4
-12.5,38,542.3
-12.2,38,542.4
-12,38,543.2
-12.2,38,543
-12.2,38,543
-12.2,38,542.4
-12,38,543
-12,38,542.1
-12.2,38,543.2
-12,38,543
-12,38,543
-12,38,543
-12.1,38,542.8
-12.1,38,542.1
-12,38,542.3
-12,38,542.3
-12.2,38,543.2
-12.1,38,542.3
-12.2,38,542.3
-12.2,38,542.3
-12.2,38,543
-12.2,38,542.4
-12,38,542.3
-12,38,542.3
-12.1,38,542.3
-12.2,38,542.1
-12.2,38,542.1
-12.1,38,542.8
-12.2,38,542.3
-12.1,38,543
-12.3,38,542.4
-12.2,38,543.2
-12.2,38,543.2
-12.3,38,541.7
-12.1,38,543
-12.2,38,542.3
-12.2,38,543
-12.3,38,542.3
-12.2,38,542.3
-12.1,38,542.3
-12.2,38,543
-12.2,38,542.4
-12.1,38,542.3
-12,38,543.2
-12.2,38,543
-12.2,38,541.7
-12,38,542.3
-12.1,38,542.8
-12,38,542.4
-12.2,38,542.8
-12.2,38,542.8
-12,38,542.1
-12,38,542.3
-12,38,542.3
-12.1,38,542.1
-12,38,541.9
-12,38,542.3
-12.2,38,543
-12,38,542.8
-12,38,542.4
-12,38,542.3
-12.2,38,543.2
-12.2,37,541.7
-12.2,37,542.4
-12.1,37,542.4
-12.1,37,542.4
-12.1,37,542.4
-12.1,37,542.3
-12.2,37,542.1
-12.3,37,543
-12.1,37,542.8
-12.1,37,542.4
-12.1,37,542.3
-12.2,37,542.3
-12.2,37,541.7
-12.2,37,541.7
-12.1,37,542.1
-12.1,37,541.9
-12.1,37,542.3
-12.1,37,542.1
-12,37,542.4
-12.1,37,543
-12.2,37,543
-12.1,37,542.1
-12.1,37,541.7
-12,37,542.4
-12.2,37,543.2
-12.2,37,542.8
-12,37,541.9
-12.1,37,543
-12.1,37,542.8
-11.9,37,541.7
