Soc,r0,r1,c,OCV,Temp,DBSCANclusters
70,0.0020091493247758143,0.002490875322325988,42103.11691336552,3.858,40,2
60,0.001934631680125498,0.0017419601602393518,43745.34959837378,3.761,40,2
50,0.002089073802831196,0.002951926821988052,41361.955971101124,3.705,40,2
40,0.001968933722012848,0.003088017996512657,43729.163651249,3.669,40,2
30,0.002132168445628239,0.002467944648032334,41932.70806572224,3.636,40,2
20,0.002097062411065352,0.0029096284925640378,44724.28773250791,3.584,40,2
90,0.001997282935861454,0.002527490184245487,32933.40875039402,4.045,40,2
70,0.0020193004135972575,0.0029691114010275714,42579.99307133364,3.862,40,2
60,0.002084242569129971,0.0028471129748707255,54560.24222851185,3.764,40,2
50,0.002112408035737494,0.0019727744045303364,53432.74803047204,3.706,40,2
40,0.0020367267032009697,0.0027151602911773954,43941.16502408763,3.67,40,2
30,0.002102772644198772,0.0019474365367635087,46532.28866837261,3.637,40,2
20,0.002106778350258512,0.002574372482433501,41938.89588666355,3.586,40,2
