temp,soc,c,soh
20,0.2,13332.134049270924,0.9
20,0.25,15438.783358834498,0.9
20,0.3,17040.376762785163,0.9
20,0.35,16936.117975391564,0.9
20,0.4,16699.436783037752,0.9
20,0.45,15814.729142928187,0.9
20,0.5,15005.1730923346,0.9
20,0.55,14800.303742829325,0.9
20,0.6,14675.479173474963,0.9
20,0.65,16019.139086135063,0.9
20,0.7,17362.798998795075,0.9
20,0.75,17552.24530967014,0.9
20,0.8,17733.03761807996,0.9
20,0.85,15476.935228470538,0.9
20,0.9,13047.267251318564,0.9
20,0.95,10617.599274166587,0.9
20,1.0,8187.931297014621,0.9
30,0.0,3572.8738199362606,0.9
30,0.05,7410.616424092148,0.9
30,0.1,11248.359028248038,0.9
30,0.15,14293.398534151276,0.9
30,0.2,17327.124037536338,0.9
30,0.25,20422.874137695573,0.9
30,0.3,23520.429279356627,0.9
30,0.35,23001.790776483926,0.9
30,0.4,22323.078774404014,0.9
30,0.45,20894.300281942764,0.9
30,0.5,19420.815443012812,0.9
30,0.55,18601.417946195088,0.9
30,0.6,17831.423237342227,0.9
30,0.65,21961.264756898778,0.9
30,0.7,26541.149911713852,0.9
30,0.75,24119.552179346836,0.9
30,0.8,20934.92471657974,0.9
30,0.85,18015.498396115938,0.9
30,0.9,15129.69560117085,0.9
30,0.95,12243.892806225762,0.9
30,1.0,9358.090011280763,0.9
40,0.0,10937.5,0.9
40,0.05,12931.039925307614,0.9
40,0.1,14725.045601039026,0.9
40,0.15,16627.760010653925,0.9
40,0.2,18739.43608485585,0.9
40,0.25,21157.387875126566,0.9
40,0.3,24046.551836564162,0.9
40,0.35,25498.1610488717,0.9
40,0.4,25161.352718337675,0.9
40,0.45,24321.492842293417,0.9
40,0.5,22973.574200120078,0.9
40,0.55,21975.76166044429,0.9
40,0.6,21265.344093961015,0.9
40,0.65,26424.424048670902,0.9
40,0.7,35479.30854698055,0.9
40,0.75,32853.44564833695,0.9
40,0.8,24013.662491295836,0.9
40,0.85,19280.24047896293,0.9
40,0.9,16268.818095262424,0.9
40,0.95,13257.395711561838,0.9
40,1.0,10245.973327861338,0.9
0,0.0,112.13435947968001,0.8
0,0.05,357.8050411270763,0.8
0,0.1,1117.47300205404,0.8
0,0.15,1877.140962981,0.8
0,0.2,2637.6643624234803,0.8
0,0.25,3398.381599997243,0.8
0,0.3,4014.007551759863,0.8
0,0.35,4410.44609508402,0.8
0,0.4,4806.884638408178,0.8
0,0.45,5077.0528892667535,0.8
0,0.5,5344.7971251467325,0.8
0,0.55,5609.924257630388,0.8
0,0.6,5873.024605198988,0.8
0,0.65,6117.076520085563,0.8
0,0.7,6249.737106068558,0.8
0,0.75,6382.3976920515615,0.8
0,0.8,6068.482805281215,0.8
0,0.85,5588.218951767481,0.8
0,0.9,5107.955098253753,0.8
0,0.95,4627.691244740018,0.8
0,1.0,4147.427391226291,0.8
10,0.0,148.49642521469102,0.8
10,0.05,1140.2291173475476,0.8
10,0.1,3075.8705911433776,0.8
10,0.15,4952.969995514146,0.8
10,0.2,6699.232529263448,0.8
10,0.25,8263.019578531275,0.8
10,0.3,8659.087051860452,0.8
10,0.35,9055.1545251897,0.8
10,0.4,8998.64765857425,0.8
10,0.45,8923.832990408926,0.8
10,0.5,9061.394526399075,0.8
10,0.55,9256.43208338895,0.8
10,0.6,9550.966355254726,0.8
10,0.65,9908.323678188226,0.8
10,0.7,10272.769392502725,0.8
10,0.75,10646.272426520625,0.8
10,0.8,10601.156926998226,0.8
10,0.85,9395.049505455076,0.8
10,0.9,8188.942083911925,0.8
10,0.95,6982.834662368738,0.8
10,1.0,5776.727240825588,0.8
20,0.0,247.12648892455726,0.8
20,0.05,2914.6534037847678,0.8
20,0.1,5709.7263627289585,0.8
20,0.15,8745.403080277727,0.8
20,0.2,11427.543470803652,0.8
20,0.25,13233.242879001,0.8
20,0.3,14606.037225244427,0.8
20,0.35,14516.672550335627,0.8
20,0.4,14313.802956889502,0.8
20,0.45,13555.482122509875,0.8
20,0.5,12861.576936286801,0.8
20,0.55,12685.974636710851,0.8
20,0.6,12578.982148692827,0.8
20,0.65,13730.690645258626,0.8
20,0.7,14882.399141824351,0.8
20,0.75,15044.781694002977,0.8
20,0.8,15199.746529782826,0.8
20,0.85,13265.944481546177,0.8
20,0.9,11183.371929701627,0.8
