soc,c,temp,soh
0,138.21543654844513,10,0.8
10,2206.2687354069776,10,0.8
20,8298.347033318427,10,0.8
30,12530.261098759634,10,0.8
40,9667.040234166441,10,0.8
50,8849.012523444671,10,0.8
60,8770.023376736592,10,0.8
70,16990.760019653095,10,0.8
80,7985.009709420879,10,0.8
90,8388.48053113209,10,0.8
100,9361.847462449721,10,0.8
0,157.96049891250874,10,0.8
10,2521.44998332226,10,0.8
20,9483.825180935346,10,0.8
30,14320.298398582438,10,0.8
40,11048.045981904506,10,0.8
50,10113.157169651051,10,0.8
60,10022.883859127533,10,0.8
70,19418.011451032107,10,0.8
80,9125.725382195287,10,0.8
90,9586.834892722389,10,0.8
100,10699.254242799683,10,0.8
0,59.235187092190756,10,0.7
10,945.5437437458472,10,0.7
20,3556.434442850754,10,0.7
30,5370.111899468413,10,0.7
40,4143.017243214188,10,0.7
50,3792.433938619143,10,0.7
60,3758.581447172824,10,0.7
70,7281.754294137039,10,0.7
80,3422.1470183232323,10,0.7
90,3595.0630847708944,10,0.7
100,4012.2203410498805,10,0.7
0,74.04398386523846,10,0.7
10,1181.9296796823091,10,0.7
20,4445.543053563442,10,0.7
30,6712.639874335517,10,0.7
40,5178.771554017736,10,0.7
50,4740.54242327393,10,0.7
60,4698.22680896603,10,0.7
70,9102.1928676713,10,0.7
80,4277.68377290404,10,0.7
90,4493.8288559636185,10,0.7
100,5015.27542631235,10,0.7
0,88.85278063828613,10,0.7
10,1418.3156156187706,10,0.7
20,5334.651664276131,10,0.7
30,8055.167849202619,10,0.7
40,6214.525864821282,10,0.7
50,5688.650907928715,10,0.7
60,5637.872170759236,10,0.7
70,10922.631441205558,10,0.7
80,5133.2205274848475,10,0.7
90,5392.594627156341,10,0.7
100,6018.330511574819,10,0.7
0,103.66157741133384,10,0.7
10,1654.701551555233,10,0.7
20,6223.760274988819,10,0.7
30,9397.695824069724,10,0.7
40,7250.28017562483,10,0.7
50,6636.759392583501,10,0.7
60,6577.517532552443,10,0.7
70,12743.07001473982,10,0.7
80,5988.757282065657,10,0.7
90,6291.360398349067,10,0.7
100,7021.38559683729,10,0.7
0,118.47037418438151,10,0.7
10,1891.0874874916944,10,0.7
20,7112.868885701508,10,0.7
30,10740.223798936826,10,0.7
40,8286.034486428376,10,0.7
50,7584.867877238286,10,0.7
60,7517.162894345648,10,0.7
70,14563.508588274079,10,0.7
80,6844.2940366464645,10,0.7
90,7190.126169541789,10,0.7
100,8024.440682099761,10,0.7
0,39.49012472812718,10,0.6
10,630.3624958305649,10,0.6
20,2370.956295233836,10,0.6
30,3580.0745996456094,10,0.6
40,2762.011495476126,10,0.6
50,2528.2892924127623,10,0.6
60,2505.720964781883,10,0.6
70,4854.502862758027,10,0.6
80,2281.431345548822,10,0.6
90,2396.7087231805967,10,0.6
100,2674.8135606999203,10,0.6
0,49.36265591015897,10,0.6
10,787.9531197882061,10,0.6
20,2963.6953690422947,10,0.6
30,4475.093249557011,10,0.6
40,3452.5143693451573,10,0.6
50,3160.361615515953,10,0.6
60,3132.1512059773536,10,0.6
70,6068.128578447533,10,0.6
80,2851.789181936027,10,0.6
90,2995.885903975746,10,0.6
100,3343.5169508749,10,0.6
0,59.235187092190756,10,0.6
10,945.5437437458472,10,0.6
20,3556.434442850754,10,0.6
30,5370.111899468414,10,0.6
40,4143.017243214189,10,0.6
50,3792.4339386191436,10,0.6
60,3758.581447172824,10,0.6
70,7281.75429413704,10,0.6
80,3422.1470183232323,10,0.6
90,3595.0630847708944,10,0.6
100,4012.22034104988,10,0.6
0,69.10771827422256,10,0.6
10,1103.1343677034886,10,0.6
20,4149.173516659213,10,0.6
30,6265.130549379816,10,0.6
40,4833.520117083221,10,0.6
50,4424.506261722335,10,0.6
60,4385.011688368296,10,0.6
70,8495.380009826547,10,0.6
80,3992.5048547104384,10,0.6
90,4194.240265566044,10,0.6
100,4680.923731224861,10,0.6
0,78.98024945625436,10,0.6
10,1260.7249916611297,10,0.6
20,4741.912590467672,10,0.6
30,7160.149199291219,10,0.6
40,5524.022990952252,10,0.6
50,5056.578584825525,10,0.6
60,5011.441929563766,10,0.6
70,9709.005725516054,10,0.6
80,4562.862691097644,10,0.6
90,4793.4174463611935,10,0.6
100,5349.627121399841,10,0.6
0,31455.646579449825,40,1.0
10,24064.675307627316,40,1.0
20,18065.67003356241,40,1.0
30,18326.48573559178,40,1.0
40,13199.603420348292,40,1.0
50,15175.334656793884,40,1.0
60,22082.703495604812,40,1.0
70,13901.85184097715,40,1.0
80,13830.541944255068,40,1.0
90,15902.068820230857,40,1.0
100,15019.10477138798,40,1.0
0,39319.55822431228,40,1.0
10,30080.84413453414,40,1.0
20,22582.08754195301,40,1.0
30,22908.107169489725,40,1.0
40,16499.504275435364,40,1.0
50,18969.168320992354,40,1.0
60,27603.379369506016,40,1.0
70,17377.314801221437,40,1.0
80,17288.177430318836,40,1.0
90,19877.58602528857,40,1.0
100,18773.880964234973,40,1.0
0,47183.46986917473,40,1.0
10,36097.01296144097,40,1.0
20,27098.50505034361,40,1.0
30,27489.72860338767,40,1.0
40,19799.405130522435,40,1.0
50,22763.001985190826,40,1.0
60,33124.055243407216,40,1.0
70,20852.77776146572,40,1.0
80,20745.8129163826,40,1.0
90,23853.103230346285,40,1.0
100,22528.65715708197,40,1.0
0,55047.381514037195,40,1.0
10,42113.18178834781,40,1.0
20,31614.922558734215,40,1.0
30,32071.350037285618,40,1.0
40,23099.305985609513,40,1.0
50,26556.835649389297,40,1.0
60,38644.73111730842,40,1.0
70,24328.24072171001,40,1.0
80,24203.44840244637,40,1.0
90,27828.620435404002,40,1.0
100,26283.433349928964,40,1.0
0,62911.29315889965,40,1.0
10,48129.35061525463,40,1.0
20,36131.34006712482,40,1.0
30,36652.97147118356,40,1.0
40,26399.206840696585,40,1.0
50,30350.66931358777,40,1.0
60,44165.406991209624,40,1.0
70,27803.7036819543,40,1.0
80,27661.083888510137,40,1.0
90,31804.137640461715,40,1.0
100,30038.20954277596,40,1.0
0,26213.03881620819,40,0.9
10,20053.89608968943,40,0.9
20,15054.725027968674,40,0.9
30,15272.071446326485,40,0.9
40,10999.66951695691,40,0.9
50,12646.112213994904,40,0.9
60,18402.25291300401,40,0.9
70,11584.876534147625,40,0.9
80,11525.451620212558,40,0.9
90,13251.724016859049,40,0.9
100,12515.920642823317,40,0.9
0,32766.298520260236,40,0.9
10,25067.370112111785,40,0.9
20,18818.40628496084,40,0.9
30,19090.089307908107,40,0.9
40,13749.586896196139,40,0.9
50,15807.640267493629,40,0.9
60,23002.816141255018,40,0.9
70,14481.095667684533,40,0.9
80,14406.814525265698,40,0.9
90,16564.655021073806,40,0.9
100,15644.900803529146,40,0.9
0,39319.55822431228,40,0.9
10,30080.84413453414,40,0.9
20,22582.08754195301,40,0.9
30,22908.107169489725,40,0.9
40,16499.504275435364,40,0.9
50,18969.168320992354,40,0.9
60,27603.379369506016,40,0.9
70,17377.314801221433,40,0.9
80,17288.177430318836,40,0.9
90,19877.586025288572,40,0.9
100,18773.880964234973,40,0.9
0,45872.81792836433,40,0.9
10,35094.318156956506,40,0.9
20,26345.76879894518,40,0.9
30,26726.12503107135,40,0.9
40,19249.421654674596,40,0.9
50,22130.696374491083,40,0.9
60,32203.94259775702,40,0.9
70,20273.533934758343,40,0.9
80,20169.540335371974,40,0.9
90,23190.51702950334,40,0.9
100,21902.861124940802,40,0.9
0,52426.07763241638,40,0.9
10,40107.79217937886,40,0.9
20,30109.45005593735,40,0.9
30,30544.14289265297,40,0.9
40,21999.33903391382,40,0.9
50,25292.224427989808,40,0.9
60,36804.50582600802,40,0.9
70,23169.75306829525,40,0.9
80,23050.903240425116,40,0.9
90,26503.448033718098,40,0.9
100,25031.841285646635,40,0.9
0,20970.431052966553,40,0.8
10,16043.116871751547,40,0.8
20,12043.78002237494,40,0.8
30,12217.657157061189,40,0.8
40,8799.73561356553,40,0.8
50,10116.889771195925,40,0.8
60,14721.802330403209,40,0.8
70,9267.901227318102,40,0.8
80,9220.361296170046,40,0.8
90,10601.37921348724,40,0.8
100,10012.736514258653,40,0.8
0,26213.038816208187,40,0.8
10,20053.89608968943,40,0.8
20,15054.725027968674,40,0.8
30,15272.071446326485,40,0.8
40,10999.66951695691,40,0.8
50,12646.112213994904,40,0.8
60,18402.252913004013,40,0.8
